# BEAST v10.5.0
# Generated Wed Apr 22 08:19:24 CEST 2026 [seed=1776838763727]
# Binome_8.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	coords_fixed.precision.col11	coords_fixed.precision.col12	coords_fixed.precision.col21	coords_fixed.precision.col22	correlation	coords_fixed.varCovar.coords_fixed.precision.col11	coords_fixed.varCovar.coords_fixed.precision.col12	coords_fixed.varCovar.coords_fixed.precision.col21	coords_fixed.varCovar.coords_fixed.precision.col22	coords_fixed.diffusionRate	treeLikelihood	branchRates	coords_fixed.traitLikelihood	skygrid
1000000	-32611.71906169871	-636.7394602093385	-31974.979601489373	3.5521781496696114	2020.6172207574343	52.61537744700102	2.0319916376146936	2.8482403117726007	3.569895582665352	4.017160409453867	4.9914216960120195	3.8615128772963474	2.624658887868516	2.8085999264582986	1.8294256591115368	1.9908947127597052	2.5905906594453665	1.1264874385762569	2.189974997674137	2.621335473155119	2.5720963941298374	2.641864404620279	2.0218872648447825	1.4059268396307805	0.5906646172248049	0.25724981170922273	0.6211205840447762	3.0	1.0138193622744545	0.2438530564883131	0.2567806249083286	0.24607113868069594	0.2532951799226626	0.5563242959851813	0.0065709935412315065	0.02078391313909853	0.0022396361825498803	1.3562794844924793	0.07728562747830083	0.01737474989744231	-0.002777171849106158	-0.002777171849106158	0.003921854199068827	0.33643235174868885	64.90068098060298	45.9579410805085	45.957941080508505	287.5255027276138	223.5192377531616	-31822.198914802757	-404.9828703297238	-152.7806866866158	-171.72486285178067
1100000	-32580.258351889664	-608.8391041266553	-31971.41924776301	3.1161676217821705	2021.0532312853218	50.93377843286743	2.190476182646806	2.7556958656783155	3.2176477181007397	3.5937257367033117	3.5121813335851275	3.0131677784874284	3.9505332491867167	3.5599690589571864	3.153470005559842	2.5506666387960344	2.5158867165922842	1.662478131285014	1.3230561241516687	1.213564637676513	1.667101839169024	0.7483993213881076	0.44777431388970806	0.08752098145543605	-0.6102781587017021	-0.9375923662198212	0.4883056690872546	3.0	0.9086125616004376	0.24581765280583667	0.2553551833711905	0.24636207888129047	0.2524650849416824	0.7733508219599468	0.006428380468946036	0.015475822893125627	0.002282399396207813	1.2561755379695634	-0.04852852571862633	0.014161707488656982	-0.0023621353905094377	-0.0023621353905094377	0.003858915010928633	0.31953200880890514	78.64239832265339	48.13891773889476	48.138917738894754	288.60719608951837	220.71983321218178	-31828.914233362353	-404.9828703297238	-142.50501440065554	-159.28909737392985
1200000	-32556.58952739831	-577.3574402725665	-31979.232087125743	1.9471236863417964	2022.2222752207622	35.645566658192884	3.1393848821883137	2.774386917476102	2.531830220940898	3.334335232815823	3.451328985565014	3.4784355882957074	2.025399113043687	2.318910078992422	1.0301578479300804	0.47424900753572274	1.1827157631802314	0.5672704762375811	-0.19396987550264783	-1.2310030219342896	-1.8455033985671248	-1.426635740074937	-1.7708054343502857	-2.3565580686008705	-2.935511179898819	-2.5344943127271056	-2.3363601261720737	3.0	0.9704130868235356	0.2455653417579222	0.2498969329088463	0.2474594686058833	0.25707825672734813	0.5705407924435641	0.007749540045859413	0.016547346832324346	0.003346120793392175	1.1105490147482298	0.17505501175429256	0.014774578567294848	-0.0017213105691851192	-0.0017213105691851192	0.004097279128675749	0.22123503774769346	71.16709499513436	29.89805403687951	29.898054036879515	256.62489749669174	294.30243438484035	-31831.40009394757	-404.9828703297238	-147.83199317817184	-139.58918562616725
1300000	-32550.64948441703	-572.9405506613509	-31977.70893375568	1.8134520824227078	2022.3559468246813	26.330283000614994	5.141304495418851	1.4537474253308482	1.9663999896628976	2.4822101990405043	2.1978309847254462	1.8131363158275648	1.7708073239051652	1.882551677283054	0.6809886713374426	0.3263648347286265	-0.3771965054468131	-0.46540885320238656	-0.6146424259928627	-0.700411747988906	-0.9593483808661141	-0.5998325540887315	-0.9081026061540619	-1.1217059349874596	-1.193838323680437	-1.9043309421752808	-2.3313629408007075	3.0	1.0030965535099081	0.2438056064580984	0.25970245554219334	0.2435419869476129	0.25294995105209567	0.687752207493146	0.011581622697241561	0.03061939565800355	0.004345296118591503	1.230852581546265	0.2892484941283013	0.015145833528250038	-4.3113246525335204E-4	-4.3113246525335204E-4	0.006696193033935755	0.04281048574408162	66.14598667784065	4.258790354236737	4.258790354236737	149.61278710264122	424.97859157671326	-31843.305979411893	-404.9828703297238	-134.4029543437852	-119.33204158804043
1400000	-32563.411198676095	-589.0837502385216	-31974.327448437572	1.478177872889219	2022.6912210342145	25.529293178729585	1.7892997370993968	3.526357226511232	3.145178852859355	2.669448498110878	2.0687224953131342	1.2459315560842308	0.8536824340514695	1.6816013429714727	0.19872308115846743	0.0480896959810706	-1.1607311194804235	-0.7276443608427113	-1.9775459760424545	-0.521191392539778	-0.4654955142879773	-0.7868447993908769	-0.5237563721964933	-1.3703796488613407	-1.7360021248820074	-2.5442547572979666	-1.4641454235353915	3.0	0.9758734261590678	0.2514022059352275	0.24919460303613972	0.25264864991856045	0.2467545411100723	0.5989235533434495	0.006868520323304524	0.007964197773245073	0.00463750747053703	0.9236038519549545	0.07080224688973653	0.019078908641301573	-0.0011821090634729164	-0.0011821090634729164	0.003137290946523124	0.15279297423252747	53.66678784705003	20.221266501209538	20.221266501209538	326.3655682112345	427.6059586568892	-31833.336824405375	-404.9828703297238	-140.99062403219978	-137.14601160025296
1500000	-32553.298426733287	-574.4927569209227	-31978.805669812366	0.9517907929094931	2023.2176081141943	17.95915634052474	0.17322558018801235	0.4886115078347495	2.332297798506774	1.477219572592815	4.167786231318052	1.0813825283838832	-1.5986020595777155	-6.056463638389918	-8.340173671835561	-10.365101149274558	-12.532996887310505	-12.827293746340724	-11.342931111822645	-9.521897157773571	-9.688820840304963	-7.172400688368229	-10.63558197683889	-16.098331738186186	-15.310712859111893	-15.530976154758626	-15.811321955852545	3.0	0.8602002938504751	0.23636372599617908	0.25982522355856025	0.2504728597483234	0.25333819069693736	0.6002640277759451	0.008446547292092921	0.00808318419842869	0.006474762756403439	0.7386214163159365	-0.1996476371196253	0.010797910659304607	9.749199324177353E-4	9.749199324177353E-4	0.0052968002909164775	-0.12891168510013482	94.17553885138729	-17.33378736779073	-17.33378736779073	191.98365030923247	608.3076582359165	-31830.633603617673	-404.9828703297238	-148.17206619469346	-117.67408635470977
1600000	-32560.002277582418	-573.568424553467	-31986.43385302895	0.948308861831497	2023.2210900452724	17.319747262776183	0.13440678168079978	3.080635580649586	1.9890075876816355	1.4216108699550547	5.5862192887854025	0.558139182612069	-1.226664886315677	-5.422096993968808	-8.026722855273663	-7.958987506151406	-4.214788238237047	-0.8452564139774257	3.6181052853064104	-0.3348511997131052	-0.5482615902596217	-3.4468785101119925	-4.260360257827571	-6.34909511512677	-3.4146669326094	-0.8525625544710964	2.414673507307124	3.0	0.9695119831454357	0.24118459015606158	0.2540457195970729	0.2503898059151476	0.2543798843317183	0.49983485863208044	0.0066922630068575574	0.007304865987810508	0.006713068160325752	0.7607480132821297	-0.11691833221057943	0.010643897834847359	3.6619513246168847E-4	3.6619513246168847E-4	0.0037391343666290616	-0.05804658610498205	94.26817252540276	-9.23222931835489	-9.232229318354891	268.3457450454579	669.0903791946611	-31830.883006310927	-404.9828703297238	-155.55084671802348	-122.73433287894065
1700000	-32580.051615708493	-578.344757382345	-32001.70685832615	0.8951551094802495	2023.2742437976235	15.14893970548136	0.7468176897573123	0.6947291268048833	1.1832322443519272	2.0092294543445375	1.1619350493383127	0.35376952385050164	-1.740094430372547	-1.1694550940901765	1.2968982510831262	-1.8202914335500588	-2.1927124407166088	0.5210669465498556	-0.3437741030106225	0.17549041635789164	0.8172845144626681	1.1283408628640381	3.5161497327761704	2.8987555891994443	0.760806761647399	1.176824127816549	0.881252886389402	3.0	0.9374580346570072	0.24357545045188084	0.258856095277436	0.2473593527257233	0.25020910154496057	0.6538814077766302	0.00816359873161219	0.009660803301648547	0.007453744442722425	0.9756849872697291	0.22735852540716459	0.009093210328146063	-0.0019367044995357104	-0.0019367044995357104	0.0035379492934632362	0.3414514341508638	124.48585343580278	68.14464891373873	68.14464891373873	319.95259238507845	739.6055224659568	-31837.880972048526	-404.9828703297238	-163.82588627762343	-117.21078881167718
1800000	-32534.568459585804	-544.2470012745192	-31990.321458311286	0.81550132012064	2023.3538975869833	13.538646257301021	0.19464624469346223	0.8769842482256128	1.1375369451567519	0.9944567355203862	1.094652553979847	-0.5572296068828773	-3.3551967395215083	-5.594269130337696	-5.53563414471046	-11.826277438371925	-11.57285267122274	-12.340201797328126	-13.042064409655518	-9.812880119653064	-11.416382151731398	-11.117725904506184	-11.183130958581561	-6.264640768458413	-5.248649467791635	-2.4104158955105435	-2.621587519391313	3.0	0.9370998923277587	0.2510087621078227	0.250418874972082	0.25022399461604455	0.24834836830405166	0.6097528817831439	0.011089617273465678	0.010832691595710523	0.008947412925355972	0.6433812538103457	0.0012880596350532548	0.0075205249028154585	-0.0012918418076338994	-0.0012918418076338994	0.0028881823557527432	0.27718706077152055	144.03612131236108	64.42525450310096	64.42525450310096	375.05500131491516	841.6626392022422	-31830.25149884285	-404.9828703297238	-160.0699594684375	-119.90677035700492
1900000	-32519.319692668058	-535.1106119525683	-31984.20908071549	0.7919785590857056	2023.3774203480182	11.383226205525377	0.7281873574718917	1.1471975143220314	0.8167731830909061	2.4032143498774095	0.7016793829541518	-2.787541864203142	-4.912055915427629	-5.614555039989884	-5.339181650032773	-4.827027753978119	-3.8268674266113263	-3.625993798969326	-4.153968878431235	-1.3587049230369463	-2.1901587748954308	-1.803888013735619	-1.201675247562485	-1.9509273416270574	-1.990192434432325	-2.3253157829679734	-4.800222678160708	3.0	0.9559221743805634	0.2441128152413013	0.25237234799517394	0.24368557740516456	0.25982925935836093	0.5539513644535047	0.012276534219195159	0.014289043553647877	0.010181452759242602	0.7197742748348038	-0.19914232923681224	0.011553297967638033	-0.002722079644995028	-0.002722079644995028	0.004909930208165368	0.36141833549818975	99.5602516905864	55.196494265199	55.196494265199014	234.26998037599037	1001.6287113818579	-31829.181479114064	-404.9828703297238	-155.0276016014241	-81.52573267738703
